State,Done,Task,Due,Type,Assignee,Next Due,Recur Interval,Priority,Parent Task,Created,Created By,Edited,Project,Kanban - State,Kanban - Tag,Sub-Tasks,Cold,Due Stamp (Parent),Due Timestamp,Parent Due Timestamp,Parent Project,Start,Sub Seed,Sub Seed Name,Divider,Late,Days (Only if Set to 1 Day(s)),First Weekday Base Date,Last Day Base Date,Last Weekday Base Date,Next Last Base Date,Recur Unit,Simplified Recur Unit,⏱ Recurring Divider,✅ Sub-Task Divider,UTC Offset
😀,Yes,Take new picture for homepage background,2021년 9월 13일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Design,,No,1631505600000,1631505600000,,,2020년 10월 27일,Yes,Take new picture for homepage background,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Today,2021년 9월 22일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1632283200000,1632283200000,,,,Yes,Task Due Today,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
😀,Yes,Change login URL,2021년 9월 23일,⏳One-Time,,,,🚨HIGH,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Security,,No,1632369600000,1632369600000,,,2020년 10월 26일,Yes,Change login URL,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Write About page copy,2021년 10월 14일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Copy,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Overdue%20Sub-Task%20Example%20be8fdefd4abe4dce89a41ab6619c7499.md,Yes,1634184000000,1634184000000,,,2020년 10월 28일,Yes,Write About page copy,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Overdue Sub-Task Example,2022년 3월 15일,⏳One-Time,,,,🚨HIGH,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Write%20About%20page%20copy%20837237e2acb44182a888ee7c3fb21974.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,No,1634184000000,1647316800000,1634184000000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Write About page copy,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task with Sub-Tasks,2021년 12월 8일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,"../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%201%2013f68afcbe8f4709acdcbf2328efdd7f.md, ../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%202%202374d2fcdfe3463e9e3030acc64e8b83.md",Yes,1638939600000,1638939600000,,,,Yes,Task with Sub-Tasks,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Sub-Task 2,2021년 12월 6일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1638939600000,1638766800000,1638939600000,,,No,Task with Sub-Tasks,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Sub-Task 1,2021년 12월 8일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1638939600000,1638939600000,1638939600000,,,No,Task with Sub-Tasks,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Recurring Task Due Today,2022년 2월 9일,🔄Recurring,,"11월 23, 2022",7,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1644382800000,1644382800000,,,,Yes,Recurring Task Due Today,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Today,2022년 2월 9일,🔄Recurring,,"11월 22, 2022",2,🧊 Low,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1644382800000,1644382800000,,,,Yes,Task Due Today,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Tomorrow,2022년 2월 10일,🔄Recurring,,"11월 22, 2022",3,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1644469200000,1644469200000,,,,Yes,Task Due Tomorrow,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Test PerfMatters speed changes,2022년 2월 10일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Speed,,Yes,1644469200000,1644469200000,,,2020년 10월 25일,Yes,Test PerfMatters speed changes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Replay Breath of the Wild,2022년 2월 11일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1644555600000,1644555600000,,,,Yes,Replay Breath of the Wild,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Install 2FA plugin,2022년 3월 18일,⏳One-Time,,,,🚨HIGH,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Security,,No,1647576000000,1647576000000,,,2020년 10월 26일,Yes,Install 2FA plugin,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Test Inbox Task,2022년 3월 18일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,"../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Sub-Task%20f4d7351bb48143c3afd5d2ca6ea11174.md, ../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Sub-Task%202%20478de3ebd6684651b0c16ea06c00d135.md",Yes,1647576000000,1647576000000,,,,Yes,Test Inbox Task,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞😀,Yes,Test Sub-Task 2,2022년 3월 10일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Inbox%20Task%20c915cf1dd73d45168e8d8e8bdee2ed21.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,No,1647576000000,1646888400000,1647576000000,,,No,Test Inbox Task,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Test Sub-Task,2022년 3월 17일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Inbox%20Task%20c915cf1dd73d45168e8d8e8bdee2ed21.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1647576000000,1647489600000,1647576000000,,,No,Test Inbox Task,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Sample inbox task,2022년 3월 24일,⏳One-Time,,,,🚨HIGH,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,No,1648094400000,1648094400000,,,,Yes,Sample inbox task,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,3rd Test Task,2022년 3월 25일,⏳One-Time,,,,🚨HIGH,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,No,1648180800000,1648180800000,,,,Yes,3rd Test Task,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,New Task Recurring,2022년 3월 30일,🔄Recurring,,"11월 30, 2022",2,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1648612800000,1648612800000,,,,Yes,New Task Recurring,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,2022년 11월 30일,2022년 11월 30일,2023년 1월 31일,Month(s) on the Last Weekday,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Create Home Page,2022년 6월 18일,⏳One-Time,,,,🚨HIGH,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,Doing,Design,"../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Design%20header%20a6fa0a20e8484712839151577bb6c9c4.md, ../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20full-width%20splash%20image%20702e25f7a5ed44669414590331cac844.md, ../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Design%20footer%20520f7afcace349a08d8b5475f7632321.md",No,1655524800000,1655524800000,,,2020년 10월 23일,Yes,Create Home Page,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Design header,2022년 3월 17일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1655524800000,1647489600000,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Create Home Page,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Design footer,2022년 3월 17일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1655524800000,1647489600000,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Create Home Page,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,Month(s) on the Last Day,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Test full-width splash image,2022년 3월 18일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1655524800000,1647576000000,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Create Home Page,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,RECURRING TASK (click me),2022년 6월 19일,🔄Recurring,,"11월 22, 2022",6,🚨HIGH,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,No,1655611200000,1655611200000,,,,Yes,RECURRING TASK (click me),🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,Day(s),days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,,2022년 7월 9일,🔄Recurring,,"11월 26, 2022",7,🧀 Medium,,2022년 7월 9일 오전 12:21,Nak Won,2022년 7월 9일 오전 12:21,../Fitness%20b7e3b2c72eed450cb55c8605362b70c1.md,To Do,,,Yes,1657339200000,1657339200000,,,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
⚪️,No,Dateless task,,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Dateless%20task%20sub-task%20with%20date%200b5b08858a9346949edd2279d2ed81d0.md,No,4824612420000,4824612420000,,,,Yes,Dateless task,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Dateless task sub-task with date,2022년 3월 15일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Dateless%20task%205833397c7833401f82d9d3bc70c4386a.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,4824612420000,1647316800000,4824612420000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Dateless task,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0