Task,Context,Date Modified,Date created,Do Date,Done,Due Date,Energy Level,Overdue,Project/Domain,Value
Look up Stoics + pleasure,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Jop%20Position%20ececb4289fc7434c87bd56687857ca8e.md,100
Send my odometer reading,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,10
,"🏡 Home, 🏢 Office",2022년 7월 8일 오후 11:00,2022년 6월 19일 오전 6:16,2021년 12월 31일,No,2021년 12월 24일,🔋 High Energy,🚩,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,10k
,,2022년 7월 8일 오후 11:07,2022년 7월 8일 오후 11:07,,No,,,,,
Fund SEP IRA,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,2021년 12월 21일,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,1k
Download $10k Tune-up template,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,10
"@2021년 12월 23일 ",,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,Yes,,,,,
Programmer’s Brain,"🏡 Home, 🔁 Recurring",2022년 7월 8일 오후 10:59,2022년 6월 19일 오전 6:16,2022년 7월 9일,No,,🔋 High Energy,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,10k
Research new life insurance policy,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,100
Contact PT,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Money%20520c064cac714a2a9d3ff5c2da751f49.md,1k
가슴/등,"🏡 Home, 🔁 Recurring",2022년 7월 8일 오후 11:07,2022년 6월 19일 오전 6:16,2022년 7월 9일,No,,🔋 High Energy,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Fitness%2004bc32ab67f04a1f82bdc6a9ed7970d8.md,10k
Call accountant about 501c3,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,1k
test today,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,Yes,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/New%20Domain%20a2d69a13353346babe32c436d9f62d02.md,
Write my Eulogy,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,1k
Sign up for rock climbing,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,2021년 11월 30일,No,,,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,1k
Renew License,🏡 Home,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,2022년 1월 5일,No,,😅 Low Energy,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,1k
,,2022년 7월 8일 오후 11:10,2022년 7월 8일 오후 11:10,,No,,,,,