Done,Task,Value,Do Date,Context,Energy Level,Project/Domain,Date created,Date Modified,Due Date,Overdue
No,가슴/등,10k,2022년 7월 9일,"🏡 Home, 🔁 Recurring",🔋 High Energy,../Fitness%2004bc32ab67f04a1f82bdc6a9ed7970d8.md,2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 11:07,,
No,Programmer’s Brain,10k,2022년 7월 9일,"🏡 Home, 🔁 Recurring",🔋 High Energy,../Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 10:59,,
No,,10k,2021년 12월 31일,"🏡 Home, 🏢 Office",🔋 High Energy,../Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 11:00,2021년 12월 24일,🚩
No,Write my Eulogy,1k,,,,../Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Sign up for rock climbing,1k,2021년 11월 30일,,,../Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Renew License,1k,2022년 1월 5일,🏡 Home,😅 Low Energy,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Contact PT,1k,,,,../Money%20520c064cac714a2a9d3ff5c2da751f49.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Call accountant about 501c3,1k,,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Fund SEP IRA,1k,2021년 12월 21일,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Research new life insurance policy,100,,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Look up Stoics + pleasure,100,,,,../Jop%20Position%20ececb4289fc7434c87bd56687857ca8e.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Send my odometer reading,10,,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,Download $10k Tune-up template,10,,,,../Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
No,,,,,,,2022년 7월 8일 오후 11:10,2022년 7월 8일 오후 11:10,,
No,,,,,,,2022년 7월 8일 오후 11:07,2022년 7월 8일 오후 11:07,,
Yes,test today,,,,,../New%20Domain%20a2d69a13353346babe32c436d9f62d02.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Yes,"@2021년 12월 23일 ",,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,