Task,Done,Value,Do Date,Context,Energy Level,Project/Domain,Date created,Date Modified,Due Date,Overdue
가슴/등,No,10k,2022년 7월 9일,"🏡 Home, 🔁 Recurring",🔋 High Energy,../Fitness%2004bc32ab67f04a1f82bdc6a9ed7970d8.md,2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 11:07,,
Programmer’s Brain,No,10k,2022년 7월 9일,"🏡 Home, 🔁 Recurring",🔋 High Energy,../Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 10:59,,
,No,10k,2021년 12월 31일,"🏡 Home, 🏢 Office",🔋 High Energy,../Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 11:00,2021년 12월 24일,🚩
Write my Eulogy,No,1k,,,,../Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Sign up for rock climbing,No,1k,2021년 11월 30일,,,../Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Renew License,No,1k,2022년 1월 5일,🏡 Home,😅 Low Energy,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Contact PT,No,1k,,,,../Money%20520c064cac714a2a9d3ff5c2da751f49.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Call accountant about 501c3,No,1k,,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Fund SEP IRA,No,1k,2021년 12월 21일,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Research new life insurance policy,No,100,,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Look up Stoics + pleasure,No,100,,,,../Jop%20Position%20ececb4289fc7434c87bd56687857ca8e.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Send my odometer reading,No,10,,,,../Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
Download $10k Tune-up template,No,10,,,,../Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
,No,,,,,,2022년 7월 8일 오후 11:10,2022년 7월 8일 오후 11:10,,
,No,,,,,,2022년 7월 8일 오후 11:07,2022년 7월 8일 오후 11:07,,
test today,Yes,,,,,../New%20Domain%20a2d69a13353346babe32c436d9f62d02.md,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,
"@2021년 12월 23일 ",Yes,,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16,,